Canal: 1
Barco	 Velocidad  	PuntoSalida 	HoraEstimada 	MinutoSalida 	MinLleg
1     	66000		0		0		0		0
17     	720		1		720		26		116
4     	481		0		240		116		251
13     	445		0		300		147		293
8     	417		1		180		293		448
15     	489		1		780		347		479
6     	398		1		300		377		540
19     	541		1		720		448		568
2     	523		0		780		568		692
11     	605		0		240		610		717
10     	325		0		780		634		834
12     	699		1		120		834		926
9     	604		1		1140		855		962
14     	448		1		1380		879		1024
7     	561		1		1080		936		1051
16     	653		1		1320		975		1074
5     	627		1		720		997		1100
18     	582		1		660		1020		1131
3     	211		0		1320		1131		1439
20     	66000		0		1440		1440		1440
Numero de Barcos = 20

